Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,51.25643539428711,51.94644546508789,50.2780647277832,50.76210021972656,47.420318603515625,1309588
2020-07-01,51.060760498046875,52.38928985595703,49.94850540161133,49.98970031738281,46.69877243041992,1238802
2020-07-02,51.42121505737305,52.57466506958008,50.49433517456055,51.41091537475586,48.02641677856445,1614870
2020-07-06,53.1204948425293,53.511844635009766,50.51493453979492,52.121524810791016,48.69024658203125,1476406
2020-07-07,50.82389450073242,51.606590270996094,49.68074035644531,49.6910400390625,46.419769287109375,1467181
2020-07-08,49.70133972167969,51.11225509643555,49.15550994873047,50.20597457885742,46.90081024169922,1759743
2020-07-09,49.83522033691406,49.92790985107422,46.96189498901367,47.34294509887695,44.226253509521484,1308131
2020-07-10,47.13697052001953,49.79402542114258,47.11637496948242,49.54685974121094,46.28507995605469,1212099
2020-07-13,50.195674896240234,51.585994720458984,49.00102996826172,50.32955551147461,47.0162467956543,948376
2020-07-14,50.216270446777344,51.44181442260742,49.495365142822266,50.0308952331543,46.73724365234375,677078
2020-07-15,51.2049446105957,51.95674514770508,50.20597457885742,51.122554779052734,47.75703811645508,1064993
2020-07-16,50.401649475097656,51.18434524536133,49.84552001953125,50.13388442993164,46.83346176147461,891475
2020-07-17,50.17507553100586,51.08135986328125,49.629249572753906,50.3089599609375,46.99701690673828,611245
2020-07-20,49.629249572753906,49.87641525268555,47.40473556518555,47.68280029296875,44.543731689453125,1289682
2020-07-21,48.06385040283203,49.598350524902344,48.06385040283203,49.36148452758789,46.111907958984375,1279584
2020-07-22,49.0731201171875,51.606590270996094,48.60968017578125,51.25643539428711,47.882110595703125,1157335
2020-07-23,50.97837448120117,52.65705490112305,48.07415008544922,49.33058547973633,46.083045959472656,2067842
2020-07-24,49.134910583496094,49.61894989013672,47.5283203125,47.82698059082031,44.67842102050781,1006247
2020-07-27,47.37384033203125,48.50669479370117,46.05561447143555,48.26982498168945,45.092105865478516,1291916
2020-07-28,48.44490051269531,50.25746536254883,47.8063850402832,49.6601448059082,46.390907287597656,962164
2020-07-29,50.02059555053711,50.350154876708984,47.394439697265625,50.16477966308594,46.86231994628906,1203263
2020-07-30,48.68177032470703,48.86714553833008,47.023685455322266,48.722965240478516,45.792755126953125,1059070
2020-07-31,48.69207000732422,48.69207000732422,46.951595306396484,47.88877487182617,45.008731842041016,1479707
2020-08-03,47.65190505981445,47.65190505981445,46.158599853515625,47.28115463256836,44.43765640258789,1059944
2020-08-04,47.2193603515625,49.53656005859375,47.2193603515625,49.08341979980469,46.131534576416016,1674490
2020-08-05,49.68074035644531,49.886714935302734,48.30072021484375,48.58908462524414,45.666927337646484,882833
2020-08-06,48.26982498168945,49.48506546020508,47.88877487182617,48.7332649230957,45.80243682861328,756215
2020-08-07,48.1771354675293,50.092689514160156,47.66220474243164,50.07209014892578,47.06074905395508,986633
2020-08-10,50.46343994140625,52.760040283203125,50.267765045166016,52.56436538696289,49.403133392333984,1111407
2020-08-11,53.56333541870117,55.08753967285156,51.68898010253906,52.02883529663086,48.89981460571289,1094123
2020-08-12,52.605560302734375,53.03810501098633,50.76210021972656,51.97734451293945,48.851417541503906,853800
2020-08-13,51.503604888916016,51.750770568847656,49.340885162353516,49.50566482543945,46.528385162353516,1217051
2020-08-14,49.27909469604492,50.31925964355469,48.71266555786133,48.7950553894043,45.86050796508789,1411834
2020-08-17,48.4552001953125,48.97013473510742,47.322349548339844,48.28012466430664,45.376548767089844,1452907
2020-08-18,48.30072021484375,48.784759521484375,47.2502555847168,48.321319580078125,45.41526412963867,873997
2020-08-19,48.403709411621094,48.64057540893555,47.167869567871094,47.28115463256836,44.43765640258789,1049942
2020-08-20,47.003089904785156,49.114315032958984,46.704429626464844,48.64057540893555,45.71532440185547,1093734
2020-08-21,48.77445983886719,49.37178039550781,47.940269470214844,48.57878494262695,45.657249450683594,891572
2020-08-24,48.53759002685547,51.93614959716797,48.38311004638672,51.32852554321289,48.24161911010742,1384937
2020-08-25,51.585994720458984,52.31719970703125,50.22657012939453,50.988670349121094,47.92219924926758,810785
2020-08-26,50.97837448120117,51.040164947509766,48.414005279541016,48.52729034423828,45.60884475708008,869433
2020-08-27,49.05252456665039,50.47373962402344,49.05252456665039,49.9691047668457,46.963951110839844,989255
2020-08-28,50.29866027832031,51.23583984375,49.50566482543945,50.370750427246094,47.63104248046875,650376
2020-08-31,50.3089599609375,50.36045455932617,47.99176025390625,48.15653991699219,45.537261962890625,1364061
2020-09-01,47.57981491088867,49.134910583496094,46.910400390625,48.58908462524414,45.94628143310547,1037805
2020-09-02,48.55818557739258,50.0,47.91967010498047,49.92790985107422,47.212284088134766,1034601
2020-09-03,50.12358474731445,52.18331527709961,49.21730041503906,49.67044448852539,46.96882629394531,1483008
2020-09-04,50.422245025634766,51.22554016113281,49.402679443359375,50.659114837646484,47.903717041015625,903418
2020-09-08,49.938209533691406,50.79299545288086,48.146240234375,48.4552001953125,45.81967544555664,1625648
2020-09-09,48.805355072021484,49.06282043457031,47.8681755065918,48.74356460571289,46.09235382080078,1572243
2020-09-10,48.66117477416992,48.94953536987305,46.2615852355957,46.395469665527344,43.87198257446289,1782853
2020-09-11,46.34397506713867,46.49845504760742,44.6652946472168,46.086509704589844,43.57981872558594,2202908
2020-09-14,46.776519775390625,49.29969024658203,46.41606521606445,48.99073028564453,46.326080322265625,1563601
2020-09-15,48.784759521484375,52.72914505004883,48.784759521484375,51.39031982421875,48.59515380859375,1998221
2020-09-16,51.63748550415039,53.72811508178711,50.525230407714844,52.77033996582031,49.90011215209961,1663323
2020-09-17,52.00823974609375,53.11019515991211,51.05046463012695,52.49227523803711,49.63717269897461,1416106
2020-09-18,51.86405944824219,52.667354583740234,50.617919921875,50.8959846496582,48.12770462036133,3402870
2020-09-21,49.3511848449707,49.6910400390625,47.621009826660156,47.796085357666016,45.196414947509766,1599625
2020-09-22,48.00205993652344,49.45417022705078,46.98249053955078,46.99279022216797,44.43680953979492,1776639
